,Name,Street_Address,State,City,Zip_Code,Type,Reviews,No_of_Reviews,Comments,Price_Range
0,Coach House Diner,55 State Rt 4,NJ,Hackensack,07601-6337," Diner, American, Vegetarian Friendly",4.0,84,"Both times we were there very late, after 11 PM.  At that time in many diners (forget restaurants!) you get warmed-over food and lousy service.  Not so here - food was uniformly very good and the service quite good.  There weren't many people but it...More",Medium
1,Table Talk Diner,2521 South Rd Ste C,NY,Poughkeepsie,12601-5476," American, Diner, Vegetarian Friendly",4.0,256,"Waitress was very friendly but a little pricey for a diner but the food was delicious 
The menu had a wide variety of foods to choose from but any choice would have been a good one",Medium
2,Sixty Vines,3701 Dallas Pkwy,TX,Plano,75093-7777," American, Wine Bar, Vegetarian Friendly",4.5,235,"Not sure why I went there for the second time. Will not go again. Not because it was terrible but because it is just average.  
The place needs a food clean .... our menus were filthy...the table was filthy 
It is impossible to have a...More",Medium
3,The Clam Bar,3914 Brewerton Rd,NY,Syracuse,13212," American, Bar, Seafood",4.0,285,Doesn't look like much from the outside but walk in either the front door or back door and get greeted and sat almost immediately. Waitress was amazing and very helpful with the very large variety that they offer. My wife and I were very satisfied...More,Medium
4,Black Angus Steakhouse - Federal Way,2400 S 320th St,WA,Federal Way,98003-5465," American, Steakhouse, Bar",4.0,220,This is an easy any time place to have dinner!  From week night to a special occasion.  The food is reasonably priced and always delicious!,Medium
5,Ziziki's,11663 Preston Rd,TX,Dallas,75230-2704," Mediterranean, Greek, Healthy",4.5,89,"My husband and I went to Greece last fall and fell in love with the beauty and the food so while on a  Dallas business trip, we came across Ziziki's and thought we'd give it a go knowing that this was risky after 2 weeks...More",Medium
6,Vince's Italian Restaurant & Pizzeria,2815 NE Sunset Blvd,WA,Renton,98056-3105," Italian, Pizza, Vegetarian Friendly",4.0,90,I love Vince's pizza and I was in the neighborhood after a meeting. I had a small pizza and salad.  Both were delicious and as I would expect. The service was friendly and attentive. The delivery was as quick as one can expect for a...More,Medium
7,John Thomas Steakhouse,1152 Danby Rd,NY,Ithaca,14850-8927," American, Steakhouse, Gluten Free Options",4.0,258,"The ambience, food and service were all excellent. With a student at Cornell we look forward to more dinners there!",Expensive
8,ZaZa's Cucina,622 Cascadilla St,NY,Ithaca,14850-4049," Italian, Vegetarian Friendly, Gluten Free Options",4.0,271,"Nice big dining area.  Holds many people, so never feels crowded.  Food and cocktails are really good.",Medium
9,Dulin's Cafe,1929 Main St,WA,Vancouver,98660-2608," Cafe, American, Vegetarian Friendly",4.5,87,This is the place if you're into the combo of excellent and sincerely unpretentious.  I'm not usually a breakfast lover - but I'll be back here to try their corned beef on potatoes and a few other treats.,Medium
10,Wilde Rover Irish Pub & Restaurant,111 Central Way,WA,Kirkland,98033-6107," Irish, Bar, Pub",4.0,118,"Have been here before. This time it was disappointing. Beer variety and selection as always good but food wasn´t worth the price-
Fish and meet portion in general small and all close to well-done.
Service personal wasn´t committed. Once we finished the dinner plates were...More",Medium
11,New World Bistro Bar,300 Delaware Ave,NY,Albany,12209-1627," American, Bar, Vegetarian Friendly",4.5,706,"Came with a group of eight people, and had a wonderful evening.  The food was a wide variety, and very high quality.  Service was excellent.  The flatbread deluxe hamburger was a unique burger, and extremely tasty.  The spicy grilled green bean appetizer platter was outstanding....More",Medium
12,Red Eye Cafe,94 Walnut St,NJ,Montclair,07042-3881," American, Cafe, Healthy",4.5,104,"My first time in this part of Montclair. Since I arrived at 12.15 pm, there was never ending influx of customers for a good 2 hours.  As busy as this restaurant is, we were not rushed and we fully enjoyed our food while enjoying our...More",Medium
13,Winberies Princeton,One Palmer Square,NJ,Princeton,08542-3718," American, Bar, Pub",4.0,314,We brought our family here for dinner on a Saturday. It was busy but the staff was very attentive and our food did not take too long. The tiger tots were amazing!  The rest of our food was good as well. A little noisy and...More,Medium
14,Din Tai Fung,700 Bellevue Way NE,WA,Bellevue,98004-5046," Chinese, Asian, Taiwanese",4.5,1198,"Din Tai Fung has always been inconstantly great.  The dumplings, noodles, and rice dishes are sublime and the service is fast and friendly. 

While everything is great and fresh ]make sure you do not forget your vegetables as the greens here are a work of...More",Medium
15,Ravenous,21 Phila St,NY,Saratoga Springs,12866-3104," Belgian, French, Cafe",4.5,280,"The food and service were very good, but the size of the portions relative to price were a little disappointing.  They did nicely accommodate our large family gathering, which was nice!  The poutine was outstanding!More",Medium
16,La Hacienda Ranch,4110 Preston Rd,TX,Frisco,75034-8508," Steakhouse, Mexican, Vegetarian Friendly",4.0,642,Food always great and the margaritas are THE BEST. Wait staff are always courteous and friendly. Best TexMex in town.,Medium
17,Breadsticks Cafe & Grill,1133 Boardwalk,NJ,Atlantic City,08401-7329," American, Vegetarian Friendly, Vegan Options",4.0,928,"We dined for lunch (group of four) and all ordered the 3-course offering for $18.99
Excellent value and the quality was exceptional. Food was fresh,
 hot and adequately portioned.No disappointment.

Better than the food(which is hard to do)was our attentive pleasant server Eden. She truly...More",Medium
18,Revolve True Food & Wine Bar,10024 Main St,WA,Bothell,98011-3464," Bar, Contemporary, Fusion",4.0,30,"Took my fiancé here for Valentine’s Day. She discovered a while back that she has a gluten allergy which has really limited what she can eat. I on the other hand, was very skeptical. Long story short, the food was delicious and I left very...More",Medium
19,Tilikum Place Cafe,407 Cedar St,WA,Seattle,98121-1519," American, European, Vegetarian Friendly",4.5,746,"One of our favorite brunch place in Seattle. Came back for the second time while we were in town. Food is absolutely lovely but the baked potatoes were a bit too dry for my taste. Overall, great place for brunch.",Medium
20,BV Tuscany Italian Restaurant,368 Cedar Ln,NJ,Teaneck,07666-3411," Italian, Vegetarian Friendly, Gluten Free Options",4.5,119,"BV Tuscany is in a great location with shops and a local movie theater. We always find street parking close by. The food is delicious so fresh, excellent quality. The service is always on point so friendly too! Its very romantic inside. The desserts are...More",Medium
21,Beso,11 Schuyler St,NY,Staten Island,10301-1952," Latin, Spanish, Vegetarian Friendly",4.5,515,This place is horrible!!!!!  They dont know how to treat customers especially when they are at fault.  This place is ran by idiots and the owner should be ashamed of who he has representing him. I was a loyal customer for 4 years and after...More,Medium
22,Social 37,2 Route 37 W Unit B2,NJ,Toms River,08753-6588," American, Bar, Gastropub",4.0,123,Went recently on a saturday night for a birthday celebration. We do like the atmosphere. it's loud but we didn't mind. the menu is very eclectic and appealing. problem is most everything just left the little bit to be desired. mainly not enough in the...More,Medium
23,Ristorante Paradiso,120 Park Ln,WA,Kirkland,98033-3717," Italian, Vegetarian Friendly, Gluten Free Options",4.5,189,We live part time in Italy and are tough critics of many Italian restaurants in the US.  Paradise surprised us with two excellent dishes that would have been very good in Italy.  The pasta with cream sauce and sausage was super.  Very rich and creamy...More,Medium
24,Tabernilla,7124 Bob Bullock Loop,TX,Laredo,78041-2080," Spanish, Mediterranean, Wine Bar",5.0,39,"Unique tapas menu - NOT a Mexican restaurant! My waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

Everything I ordered was de-lish!

Classy, relaxing ambiance.",Medium
25,Buddakan,1 Atlantic Ocean,NJ,Atlantic City,08401-6689," Chinese, Asian, Vegetarian Friendly",4.5,742,I can't tell you enough of how amazing the food here is. The edamam ravioli are to die for. There is not one dish I didn't like. This is my favorite part of visiting Atlantic City,Expensive
26,Jorge's Mexican Restaurant,6051 South Bell Street,TX,Amarillo,79109-6618," Mexican, Southwestern, Vegetarian Friendly",4.0,111,Decent service.  Nothing to write home about.  Got the fajitas and the meat was way over seasoned and the beef was super chewy. The tortillas were the only good thing of that meal.  My sister got the stuffed avocado meal and was not good.  It...More,Medium
27,Ziziki's at The Star,6765 Winning Dr,TX,Frisco,75034-8162," Mediterranean, Greek, Italian",4.5,24,"Great staff, super atmosphere and superb staff! If you like Greek food, this place is a must!  Compared to the other restaurants at The Star, it is actually not overcrowded.  Well worth a visit!",Medium
28,Del Posto,85 Tenth Avenue,NY,New York City,10011," Italian, Vegetarian Friendly, Vegan Options",4.5,1653,"Fabulous!  Deserves the Michelin Star that it already has.  We had the 5 course dinner on a wintry Sunday night.  All 5 courses were marvelous!  Having said that, the linguine with geoduck was my favorite, followed closely by the veal/tuna/sweetbread appetizer.  Pork agnolotti and branzino...More",Expensive
29,Moore's Tavern & Restaurant,402 W Main St,NJ,Freehold,07728-2540," American, Bar, Pub",3.5,223,On Tuesdays Moore's has 2 for 1 burgers. The burgers are good and large. The service however was not so good. My wife ordered bacon with her burger but did not get it. When we mentioned this to the waitress so we wouldn't be charged...More,Medium
30,Fin Raw Bar and Kitchen,183 Glenridge Ave,NJ,Montclair,07042-3526," American, Seafood",4.0,153,"Oh the food is the freshest ever. Sushi bar rocks. Wait staff good looking, fun and helpful in selecting from the awesome dishes and specials. Fish tacos are superb. This is also best run location.",Medium
31,The Capital Grille,117 W 4th St,TX,Austin,78701-3914," American, Steakhouse, Gluten Free Options",4.5,240,"Such a nice evening! Professional and kind service in a cozy atmosphere. Everything was delicious. We shared oysters, truffle fries and asparagus. We both had beautiful steaks. Would go monthly if I lived here.",Expensive
32,Pizzeria Credo,4520 California Ave SW,WA,Seattle,98116-4111," Italian, Pizza, Vegetarian Friendly",4.5,191,"Six of us dined here last night - Carbonara, pizzas, gnocchi, caprese and desserts were all excellent - both taste and presentation.  Warm, friendly and attentive service. Love this place!  A new favorite in Seattle.",Medium
33,Havana Central,One Ridge Hill Blvd,NY,Yonkers,10710-7609," Caribbean, Latin, Spanish",3.5,198,"We came with high hopes and left underwhelmed. We were hoping for something a bit different, and interesting. The waitress spent more time describing drinks than food, which made me realise that this was more of a bar than a restaurant. And the food was...More",Medium
34,Siete Banderas,901 Iturbide St,TX,Laredo,78040-5859, Mexican,4.5,29,We had my daughter-in-law’s baby shower and we invited a large group of friends and family to celebrate the future birth of my granddaughter.  Siete Banderas restaurant offers a varied and delicious brunch items.  Everybody enjoyed the food and drinks.,Medium
35,Norma's Cafe,8300 Gaylord Pkwy,TX,Frisco,75034-8566," American, Cafe, Diner",4.5,214,"Great home style food. Yummy breakfast. Large portions. Have tried chicken strips, burgers, chicken fried steak and pies. All great!",Medium
36,Lonesome Dove Western Bistro,2406 N Main St,TX,Fort Worth,76164-8519," American, Southwestern, Vegetarian Friendly",4.5,513,What a fantastic experience. The bartender was very knowledgeable about the menu and a joy to talk with.  Our server Joe as knowledgeable and attentive. The food was Devine.  The appetizers were out of this world.  I had the elk for my main course and...More,Expensive
37,KathaKali Indian Eatery,11451 98th Ave NE,WA,Kirkland,98033-4325," Indian, Asian, Vegetarian Friendly",4.5,44,"We thoroughly enjoyed our Valentine’s Weekend dinner here!  We’d been advised by a friend to arrive early on a weekend, so we arrived as they opened for the dinner service @ 5:30 (they don’t accept weekend reservations).  By 6:00 pm there was a line of...More",Medium
38,MASH'D,3401 Preston Rd Ste D1,TX,Frisco,75034-9007," American, Bar, International",4.5,307,If you are in Frisco you have to stop here. The Drinks are amazing. Service is great. Food is great.,Medium
39,Buzzard Billy's,100 Interstate 35 N,TX,Waco,76704-2518," American, Bar, Seafood",3.5,660,We sure enjoyed our meal and the margaritas we had at Buzzard Billy’s. The place was hard to get to because of construction but well worth it. It’s on the river and has a great view and was very nice indoors with friendly staff.,Medium
40,Anthony's HomePort,135 Lake St S,WA,Kirkland,98033-6468," American, Seafood, Vegetarian Friendly",4.0,413,The 3 course menu for $25 is available anytime in January which is a good deal. The salmon dip and northwest duet were good. However the salmon dip was only accompanied by a couple of crackers and slices of apple. The hot fudge sundae for...More,Medium
41,Kwan Tip Thai,29426 Pacific Hwy S,WA,Federal Way,98003-3829," Asian, Thai, Vegetarian Friendly",4.5,28,"We had a meeting in Federal Way that was going to end late, and I knew we needed to get to lunch right away, so I researched places. This sounded good, and am I glad we went!  We had the Kwan Tip Wings, which was...More",Medium
42,Acropolis Pizza & Pasta,500 Central Way,WA,Kirkland,98033-6208," Greek, Italian, Pizza",4.0,74,"This place has been run by the same family since they opened in 1973.  I had a salad and a half meatball grinder, sliced meatballs with tomato sauce and cheese.  These things are delicious but can be messy to eat.  Imagine if it had round...More",Cheap
43,Cedars at Pier One,355 Clover Island Dr,WA,Kennewick,99336-3678," American, Seafood, Bar",4.0,160,"We were excited to go here and have an early Valentine's Day dinner, Thursday, the day before the holiday and see if things had changed with the new owner. We sat in the lounge while we waited for our table. The atmosphere was relaxed, the...More",Expensive
44,Bisque Restaurant,2020 Long Beach Blvd,NJ,Ship Bottom,08008-4353," American, Seafood, Gluten Free Options",4.5,273,"Three star restaurant, open all year BYOB.Classy, elegant dining. Wine glasses, table cloths. There’s not one thing on the fine menu that I would not try! Great Chef! You got me hooked!!!🤙🤙🤙",Expensive
45,Rosco's Burger Inn,3829 Tompkins Rd,TX,El Paso,79930-6215," American, Diner",4.5,86,"We had a Cheeseburger and Cujo dog! Onion rings were impressive- the straight cut French fries were golden, brown and delicious. The bowl of chili with onions and cheese was good and perfectly spicy. The spicy ketchup and salsa served in squeeze bottles are also...More",Cheap
46,The Capital Grille,155 E 42nd St,NY,New York City,10017-5608," American, Steakhouse, Vegetarian Friendly",4.5,932,Service was great and the steaks were awesome. I highly recommend this Capital Grill when In NYC. Everyone was accomodating.,Expensive
47,Maxie's Supper Club and Oyster Bar,635 W State St,NY,Ithaca,14850-3347," American, Bar, Seafood",4.0,378,"They nailed the Cajun atmosphere, felt like we could be dining in a New Orleans restaurant! Our waitress was very bubbly, attentive and informative. We ordered oysters from 3 different north eastern states. I had only had oysters from the gulf and never knew they...More",Medium
48,The Cheesecake Factory,197 Riverside Sq Mall,NJ,Hackensack,07601-6310," American, Vegetarian Friendly, Vegan Options",4.0,217,"Lots of bread and butter to start.
Expensive, small drinks with too much ice no matter what you ask for.
Big bowls of cheap lettuce with minimal nothing special ingredients.
AND - $9 a slice for their 2,000 calorie cheesecake lol. Argh! 
Stay away please...More",Medium
49,677 Prime,677 Broadway,NY,Albany,12207-2998," American, Steakhouse, Gluten Free Options",4.5,437,"Tremendous service.  Nice atmosphere.  Ordered the large filet mignon and it had a lot of grisly fat in the middle.  Didn't complain cause im not one for that, but that is a few times now where my steak there was well below average.  I prefer...More",Expensive
50,Bareburger,7149 Austin St,NY,Forest Hills,11375-4728," American, Vegetarian Friendly, Vegan Options",4.0,138,"We ordered from this location 
And I'll say excellent burgers.  
Good size..  Very tasty
But very pricey",Medium
51,Oto Sushi,11628 97th Ln NE,WA,Kirkland,98034-4269," Japanese, Sushi, Asian",4.0,51,"We had the Mt St Helens special.  It’s a roll with avocado and crab meat inside and a fish variety on the outside.  It was great and creative.  The sushi we had was all very good.  

The soba noodle was mediocre, so don’t go for...More",Medium
52,Planet Thai,910 NE Tenney Rd,WA,Vancouver,98685-2837," Asian, Thai, Vegetarian Friendly",4.5,100,"Recently received a score of 60 from health department.  A score of 100 or higher  is closing the establishment 
Don't think I'll be back.",Medium
53,Ayothaya Thai Restaurant,5604 176th St E,WA,Puyallup,98375-9306," Thai, Asian, Vegan Options",4.5,30,An extensive menu that does not disappoint. This is my go-to place for Thai food near home. I love both the Tom Yum and the Tom Ka soups. I often just order the soup with a side of rice for an excellent meal.,Medium
54,Fat Pie Pizza,1015 Harris Ave,WA,Bellingham,98225-7034," Italian, American, Pizza",4.5,219,"Even a boy from Brooklyn NY enjoyed the pizza. Nice soft pizza with good cheese, mushrooms and pepperoni. Also had a bison burger which was cooked the way we like it. 

And the staff was extremely helpful and attentive. We carried out and everything was...More",Medium
55,Jack Allen's Kitchen,3600 N Capital of Texas Hwy,TX,Austin,78746-3314," American, Southwestern, Bar",4.5,184,Had a valentine dinner with my wife. She had the grilled ruby red trout and she said it was excellent. I had the crispy fried red fish and it was excellent. Our waiter was very personable and excellent service.,Medium
56,La Volpe,201 Brazos St. Bldg B,TX,Austin,78701," Italian, American, Seafood",4.5,11,"What Can I say ? When in Austin you should visit La Volpe, my first time around and by far I am already in love. I had no idea about the restaurant but my mom is from around and she told me about this incredible...More",Medium
57,Brother's Office Pizzeria,13221 E 32nd Ave,WA,Spokane Valley,99216-0138," Pizza, Vegetarian Friendly",4.5,58,"We have been to both Valley locations, multiple times. The stores are not really that big so finding a place to sit can sometimes be difficult. Not a place to bring more than about 6-8 people. Their pizza is quite excellent,  maybe in the Spokane...More",Medium
58,Gorkha Durbar,25250 Pacific Hwy S,WA,Kent,98032-6539," Asian, Indian, Tibetan",4.5,12,"Our group of 4 was limited in knowledge of the restaruant fare.  Our server, Anis, was very helpful in suggesting items that made our dining experience very enjoyable.  We enjoyed panner momos, spinach naan, vegetable thukpa, mango chicken, and lamb saag.  With our restaurant.com coupon,...More",Medium
59,H3 Ranch,109 E Exchange Ave,TX,Fort Worth,76164-8211," American, Steakhouse, Southwestern",4.5,1490,"My first time visiting this restaurant. Oh my!! It was phenomenal from walking in the doors to walking out with a full stomach! Service, food, atmosphere, prices... I was not disappointed by any means.",Medium
60,Seasons 52,2000 Route 38,NJ,Cherry Hill,08002-2100," American, Wine Bar, Vegetarian Friendly",4.5,493,"The food was very very good.
Over priced in my opinion, but extremely good. Not a big selection to choose from.
The waitress was extremely good in the beginning but tended to ignore us at the end. 
The place was so crowded people were standing...More",Medium
61,Esquina Latina,25 Liberty St,NJ,New Brunswick,08901-1210," Latin, Cuban, Caribbean",4.0,100,Visted on a sat night...busy so make sure you reserve a table...moderately priced....excellent portions...started with 3 beef empanadas....tasty and not greasy at all....also had the cuban chorizo..could have been spicier..but it was excellent...for entrees stuffed porkchop with chorizo and manchego cheese....smothered in pears and onions...also...More,Medium
62,Pane e Vino,8945 S Fry Rd,TX,Katy,77494," Italian, Pizza, Vegetarian Friendly",4.5,54,We heard about Pane e Vino from a friend and decided to try it.  We were met by the owner and escorted to our table.  Three of us ordered the lasagna and thought it was really good.  The fourth person ordered the veal picatta and...More,Medium
63,Capers + Olives,2933 Colby Ave,WA,Everett,98201-4010," Italian, Vegetarian Friendly",4.5,25,"Everything here is delicious and well-prepared from the olives to the bruschetta to the pasta (amazing--we tried three different ones and they were all scrumptious) to the mains. They have a lovely wine list and good cocktails. We went on a monday evening, called last...More",Medium
64,Elements Restaurant,907 Main Street,WA,Vancouver,98660," American, Vegetarian Friendly, Gluten Free Options",4.5,123,"My sister and I came here on Christmas Eve for dinner and it could not have been more pleasant!!  We both had melt in your mouth salmon, which was expertly prepared and we both loved!!  Also had a delightful cheesecake with wonderful coffee for dessert,...More",Medium
65,Jack's Oyster House,42-44 State Street,NY,Albany,12207-2804," American, Seafood, Gluten Free Options",4.0,516,This restaurant feels like you are walking into the past in a good way. Greeted by a gentleman who was polite and very organized. Our waiter never stopped moving was very polite. He was good about all of our requests. We even had to make...More,Expensive
66,Yono's Restaurant,25 Chapel St,NY,Albany,12210-2733," Indonesian, American, Vegetarian Friendly",4.5,282,We’ve been in this nice and classy place for dinner with my husband and we remain very satisfied of our four corses menu! Every plate was delicious and service was awesome) The chief was attentive to every guest! Recommended!,Expensive
67,Fleming's Prime Steakhouse & Wine Bar,1201 Lake Woodlands Dr Ste 305,TX,The Woodlands,77380-5011," American, Steakhouse, Gluten Free Options",4.5,202,"Celebrating the end of 2019.  Reserved for 2 at 4:45, yet table set for four...awkward.  Lots of young families with small children. Fun to watch!  My gorgeous smart & sweet wife had the Modern Caesar Salad that comes with two pieces of petite garlic toasts....More",Expensive
68,LuNello's Resturant,182 Stevens Ave,NJ,Cedar Grove,07009-1149," Italian, Vegetarian Friendly, Vegan Options",4.5,114,"My sisters and their husbands and I went here for my Mom’s 88th birthday. Wonderful restaurant. The food and service were spectacular. The portions were surprisingly large. But of course you pay for what you get. My brother-in-law picked up the tab, which had to...More",Expensive
69,Ironbound,1000 Spring St,NJ,Elizabeth,07201," American, Bar",4.0,108,"Ironbound - the pizza was pretty good and the beer was cold.  It was cold and rainy outside, I had returned my rental car, the service was good and it was convenient.",Medium
70,Pizza Port,13517 Lefferts Blvd,NY,South Ozone Park,11420-3601," Pizza, Italian",4.0,47,"Deliver to hotels in area. Used them when we stayed at Holiday Inn Express Kennedy Airport. I ordered sausage parmigiana with a nice side salad. My spouse had a baked manicotti dish. Delivery did take an hour, but the dishes were still hot when delivered...More",Cheap
71,Sbarro,651 Kapkowski Rd,NJ,Elizabeth,07201-4901," Italian, Pizza, Fast Food",4.0,77,Black Friday everything else was very crowded so we decided to grab a quick bite here. The line moved fast so was good. The cheese pizza was good. But the veggie was below average.the spaghetti was okay,Cheap
72,Brasilia Grill,99 Monroe Street,NJ,Newark,07105," Latin, Barbecue, Brazilian",4.0,166,"Food and drinks are always on point. I visit 3 to 4 times a month. Today they had a guest singer. JUST AWEFUL!! He cannot sings,sounds terrible and just loud. How do you chase customers away? Have the band that played at Brasilia on Feb...More",Medium
73,Henry Street Taproom,86 Henry St,NY,Saratoga Springs,12866-3218," American, Bar, Pub",4.5,161,We stopped in as it looked so cozy with real wood burning fireplaces . The menu had some unique items and many beers to choose from. Our waiter Dave suggested the beer and was exactly what my husband liked. Then he asked me what I...More,Medium
74,Metropolitan Cafe,8 E Main St,NJ,Freehold,07728-2202," American, Sushi, Gluten Free Options",4.0,165,"Metropolitan cafe is dependable, always has fresh delicious food. We went most recently for a brunch and it was delicious. A large variety of options, great bar,  and they take reservations-which isn’t common for brunch in the area.",Medium
75,Rudy's,6401 S Desert Blvd,TX,El Paso,79932-8515," American, Barbecue, Gluten Free Options",4.5,373,"We went here because it was walking distance to the hotel. Everything is a la carte. We both had the ""dry"" meaning lean brisket. I had coleslaw, my husband had beans, and we were given a baggie of 4 slices of white bread. Cafeteria style...More",Medium
76,Murray's Cheese,254 Bleecker St,NY,New York City,10014-4101," Deli, Vegetarian Friendly",4.5,258,"Murray's Cheeses on Bleecker St NYC is the MECCA for cheese lovers. They have a HUGE variety of cheeses; they even allow taste testing of any cheese you want. But they not only have cheese, they have wine, crackers, and various other items that you...More",Medium
77,INC Restaurant,302 George St,NJ,New Brunswick,08901-2039," American, Bar, Vegetarian Friendly",4.5,116,"The staff were very attentive and they gave me a good wine recommendation, a very good service. I had the salmon and it was delicious and ate every bite and no trouble dealing with gluten free. Some of the food options were unusually I would...More",Medium
78,Sushi-sake Japanese Restaurant,2150 N Collins Blvd,TX,Richardson,75080-2639," Japanese, Sushi, Asian",4.5,210,"I was very pleasantly surprised by the quality of food and ambiance of this establishment, felt very Japanese.Will be back.",Medium
79,LongHorn Steakhouse,4805 S Loop 289,TX,Lubbock,79424-1675," American, Steakhouse",4.0,132,"I totally get that I live in the beef capital of the world.   Texas is Best when it comes to beef!  Whether it’s the cut or cooking, Longhorn Steakhouses is tops in beef.   Drop in.  Ask for Ashley, you’ll be glad you did.",Medium
80,Ciao Wood-Fired Pizza & Pasta,2 Hickory Hollow Ln,NY,Ithaca,14850-1015," Italian, Pizza, Vegan Options",4.0,404,"This is your typical American-Italian eatery in that the cuisine is really more American's idea of what Italian food should be like, rather than authentic Italian.

If find most of the dishes pretty blah, although I do appreciate that they use a more flavorful cheese...More",Medium
81,Oto Sushi,8105 161st Ave NE,WA,Redmond,98052-3806," Japanese, Sushi, Asian",4.0,46,"I love Oto Sushi.  I go there at least once a week and can not recall ever getting a meal I did not thoroughly enjoy.  The menu is full of elegant and delicious choices.
The prices are great.  The service is immaculate, helpful and not...More",Medium
82,La Hacienda,811 S 3rd St,WA,Renton,98057-2737," Mexican, Latin, Spanish",4.0,51,"The food here has been everything from terrible (tortilla soup) to wonderful (fajitas). Recently, they also offer Indian food, which is very odd. The best thing on the menu is the CoronaRita. Stick with that and some chips and salsa.",Medium
83,Jon & Patty's Coffee Bar & Bistro,637 Asbury Ave,NJ,Ocean City,08226-3859," American, Cafe, Vegetarian Friendly",4.5,393,"Welcoming and trendy setting with creative twists to even the most basic dish! Great meal, great atmosphere—and the owners and staff couldn’t be more cordial.  Every item is beautifully presented and flavorful. You can stop in for a latte, or a full meal and won’t...More",Medium
84,La Cucina Di Mamma,795 Rainbow Blvd,NY,Niagara Falls,14303-1313," Italian, Vegetarian Friendly, Vegan Options",4.5,545,"When with my daughters and nefew. 
Great food!
Great service!
Great prices!
All home cooked meals.
Friendly waiter.
Small and quaint atmosphere.",Medium
85,Bob's Burgers & Brew,121 N Fair Ave,WA,Yakima,98901-4514," American, Vegetarian Friendly, Vegan Options",4.0,488,"We found Bob's right next door to our hotel so it was convenient and we didn't have to drive any more that day.  The place was fairly busy but we were seated right away.  I opted for a glass of water, my grandson took on...More",Medium
86,Los Camperos Restaurant,2500 N Expressway,TX,Brownsville,78526-4149," Mexican, Latin",4.0,54,Ate a late lunch. Waiter acted like it was his first day. Very expensive for the quality of food. Don’t order chips because after the first basket you have to pay. The homemade lemonade was great!! I had strawberry my brother had cucumber. Tortilla soup...More,Medium
87,Marianna Ristorante,310 Wells Ave S,WA,Renton,98057-2714," Italian, Pizza, Vegetarian Friendly",4.0,95,"I just wanted to give you some feedback regarding my last visit on Thurs 12/26. It was my 30th birthday and I went to you guys because you were my favorite restaurant. 
However I was very disappointed with the service that night and will probably...More",Medium
88,Catfish Charlie's,5830 McArdle Rd Ste 12,TX,Corpus Christi,78412-3472," American, Seafood",4.5,379,"Catfish Charlie’s has survived for many years because their food is fresh and tasty, eating their hush puppies is like eating peanuts , it’s hard to stop! Friendly servers, clean place , very reasonable prices , good selection .",Medium
89,What The Pho,1317 228th St SE,WA,Bothell,98021-8400," Asian, Vietnamese, Vegetarian Friendly",4.0,25,The restaurant is a nice place with good food. The servings of any food are huge but they are tasty. The service is quick and restaurant is clean. The place is worth the money.,Cheap
90,Antonia's Restaurant,2001 Katy Mills Blvd Ste A,TX,Katy,77494-4880," Italian, Vegetarian Friendly, Vegan Options",4.5,314,"My husband and I were in town for the night to run the Katy half marathon the next morning. Not familiar with the area and wanting to carb load, we looked into nearby Italian restaurants. We were pleasantly surprised to find this gem. We had...More",Medium
91,Hugo's Invitados,5240 N O'Connor Blvd,TX,Irving,75039-5714," Mexican, Latin, Bar",4.5,44,"Lovely food, got pushed a special which turned out to be $30 more than my original order. So that was a little annoying, $55 for a tiny piece of salmon, a shrimp, one scallops and some fingerling potatoes not worth it. Everything else was tasty...More",Medium
92,Lynn's Bistro,214 Central Way,WA,Kirkland,98033-6168," French, International, European",4.5,171,"Four of us for dinner.  All of us ordered the seafood ravioli which were like little ethereal pillows.  So good.  Also had seared foie with toast points that was excellent.  Crab cakes are huge, but a bit bland for me.  Someone else had duck with...More",Medium
93,Fadi's Mediterranean Grill,4738 Beechnut St,TX,Houston,77096-1637," Mediterranean, Middle Eastern, Vegan Options",4.5,203,In the area on holidays and visited today for dinner. The food was fantastic and the staff were lovely and very patient in explaining how it worked. Would definitely recommend,Medium
94,Italian Cafe,19620 Kuykendahl Rd,TX,Spring,77379-3400," Italian, Vegetarian Friendly",4.5,65,"This is our local go to restaurant as it is always good and served hot! 
 Most restaurants pre-prepare their food and it is not as good as the Italian Cafe.
We have been going there for about 10 years and it has never disappointed us....More",Medium
95,Island Cafe,250 NE Tomahawk Island Dr,OR,Portland,97217-7938," American, Bar, Cafe",4.5,269,"This place is wonderful. We tried it for the first time late this summer and have been there a couple of times now. Friendly staff, great atmosphere (feels like you left the Pacific Northwest for a bit!) and the food is excellent. We went specifically...More",Medium
96,Cafe Veloce,12514 120th Ave NE,WA,Kirkland,98034-7501," Italian, Pizza, Vegetarian Friendly",4.5,181,"I really don't enjoy Italian places since I a gluten free, but there are very accommodating.  There is gluten free penne pasta with any of their pasta meals, gluten free pizza crust and knowledgable employees.  I settled on soup and salad, but the rest of...More",Medium
97,Forno's of Spain Restaurant,47 Ferry St,NJ,Newark,07105-1443," Seafood, European, Spanish",4.5,783,"This place is like the Tardis of restaurants.  You walk in and it's a nice little bar, but then continue on and there are 3 dining rooms that altogether must hold 200 people.  They have good tapas (great grilled octopus), a full menu (with about...More",Medium
